x, y, z
-21.0482,1.05973,-0.1444377
-20.9032,1.109517,-0.1399991
-20.57138,1.221306,-0.1307232
-20.35828,1.291516,-0.1254126
-20.09359,1.376995,-0.1195202
-19.88124,1.444185,-0.1153565
-19.55366,1.545405,-0.1099167
-19.26124,1.633262,-0.1060679
-18.82051,1.761194,-0.1020595
-18.62003,1.817595,-0.1009479
-18.43371,1.869004,-0.1003137
-18.23301,1.923291,-0.1000609
-17.97487,1.991446,-0.100392
-17.71301,2.058654,-0.1014824
-17.45851,2.122104,-0.1032701
-17.20292,2.183964,-0.1057878
-17.00519,2.230531,-0.108232
-16.75013,2.288934,-0.1120251
-16.55515,2.332308,-0.1154113
-16.0947,2.43033,-0.1250815
-15.76554,2.496574,-0.1334343
-15.53081,2.541848,-0.1401238
-15.13292,2.614821,-0.1528576
-14.99351,2.639259,-0.1577342
-14.7583,2.679152,-0.1664504
-14.56145,2.711239,-0.1742168
-14.33944,2.746,-0.1834928
-14.09523,2.782476,-0.1943294
-13.91349,2.808418,-0.2028251
-13.74726,2.83124,-0.2109179
-13.52515,2.860375,-0.2222125
-13.30407,2.887824,-0.2340022
-13.05601,2.916766,-0.2478822
-12.88429,2.935642,-0.2578939
-12.63871,2.960979,-0.2727876
-12.47448,2.976825,-0.2831251
-12.16383,3.004376,-0.30351
-12.02454,3.015692,-0.3130035
-11.77305,3.034483,-0.330699
-11.57607,3.047716,-0.3450584
-11.34391,3.061623,-0.3625466
-11.13837,3.072398,-0.3785401
-10.92476,3.082052,-0.3956715
-10.73296,3.08937,-0.4114964
-10.48167,3.097007,-0.432866
-10.29234,3.101285,-0.4494437
-10.11582,3.104123,-0.4652706
-9.922791,3.105945,-0.4829878
-9.697046,3.106364,-0.5042531
-9.458091,3.104775,-0.5274047
-9.261848,3.101894,-0.546913
-9.008443,3.096048,-0.5727663
-8.847713,3.091086,-0.5895526
-8.664752,3.084244,-0.6090285
-8.451074,3.074629,-0.6322711
-8.254176,3.064205,-0.6541641
-8.085626,3.05408,-0.6732687
-7.897251,3.04144,-0.6950184
-7.732138,3.029202,-0.7144291
-7.582709,3.017185,-0.7322761
-7.386046,2.999995,-0.7561715
-7.213171,2.983584,-0.7775599
-7.003843,2.962068,-0.8039402
-6.84122,2.944096,-0.8248004
-6.681231,2.925334,-0.845636
-6.538674,2.907705,-0.8644639
-6.385204,2.88776,-0.885011
-6.205491,2.863119,-0.9094391
-6.014969,2.835467,-0.935771
-5.799888,2.80234,-0.9660374
-5.625785,2.774024,-0.9909587
-5.460452,2.745878,-1.014976
-5.292668,2.716053,-1.039699
-5.123894,2.684756,-1.064927
-4.936247,2.648419,-1.0934
-4.810665,2.623185,-1.112706
-4.670649,2.594179,-1.134469
-4.480888,2.553386,-1.164366
-4.353342,2.525,-1.184723
-4.124962,2.47221,-1.2217
-4.038904,2.451658,-1.235811
-3.873648,2.411169,-1.26318
-3.709789,2.369684,-1.290673
-3.546162,2.326912,-1.318484
-3.410685,2.290472,-1.34178
-3.24716,2.245236,-1.370227
-3.0861,2.19933,-1.398598
-2.931625,2.154028,-1.42614
-2.775551,2.106977,-1.454299
-2.648706,2.06778,-1.477431
-2.456917,2.006868,-1.512829
-2.325514,1.963979,-1.537378
-2.200825,1.922402,-1.560896
-2.063541,1.875627,-1.587043
-1.851707,1.801376,-1.627913
-1.720327,1.754044,-1.653584
-1.585726,1.704523,-1.680143
-1.444693,1.651508,-1.708252
-1.298576,1.595353,-1.737681
-1.138481,1.532372,-1.770285
-0.95508,1.458332,-1.808104
-0.831646,1.407351,-1.83384
-0.6876469,1.346693,-1.864154
-0.541296,1.283725,-1.895287
-0.4054451,1.224071,-1.924479
-0.2623768,1.159981,-1.95553
-0.1237259,1.096615,-1.985926
-0.0137558,1.045469,-2.010249
0.1233501,0.980593,-2.040842
0.2552662,0.9169958,-2.070559
0.378809,0.8563785,-2.098643
0.5117149,0.7900131,-2.129132
0.6683598,0.7102402,-2.165436
0.7918816,0.6461353,-2.194349
0.9274769,0.5745317,-2.22638
1.084661,0.489893,-2.263898
1.230425,0.4098147,-2.299064
1.393509,0.3183837,-2.33884
1.519953,0.2461407,-2.369997
